Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
04/18/2023,"4,154.87",04/18/2023,"4,164.26","4,169.48","4,140.36","4,154.87",,0.09%,0%,29.12,0.70%,,,,,,,,,,,
04/17/2023,"4,151.32",04/17/2023,"4,137.17","4,151.72","4,123.18","4,151.32",,0.33%,0%,28.54,0.69%,,,,,,,,,,,
04/14/2023,"4,137.64",04/14/2023,"4,140.11","4,163.19","4,113.20","4,137.64",,-0.21%,0%,49.99,1.21%,,,,,,,,,,,
04/13/2023,"4,146.22",04/13/2023,"4,100.04","4,150.26","4,099.40","4,146.22",,1.33%,1%,50.86,1.24%,,,,,,,,,,,
04-12-2023,"4,091.95",04-12-2023,"4,121.72","4,134.37","4,086.94","4,091.95",,-0.41%,0%,47.43,1.15%,,,,,,,,,,,
04-11-2023,"4,108.94",04-11-2023,"4,110.29","4,124.26","4,102.61","4,108.94",,0.00%,0%,21.65,0.53%,,,,,,,,,,,
04-10-2023,"4,109.11",04-10-2023,"4,085.20","4,109.50","4,072.55","4,109.11",,0.10%,0%,36.95,0.90%,,,,,,,,,,,
04-06-2023,"4,105.02",04-06-2023,"4,081.15","4,107.32","4,069.84","4,105.02",,0.36%,0%,37.48,0.92%,,,,,,,,,,,
04-05-2023,"4,090.38",04-05-2023,"4,094.50","4,099.69","4,072.56","4,090.38",,-0.25%,0%,27.13,0.66%,,,,,,,,,,,
04-04-2023,"4,100.60",04-04-2023,"4,128.03","4,133.13","4,086.87","4,100.60",,-0.58%,1%,46.26,1.12%,,,,,,,,,,,
04-03-2023,"4,124.51",04-03-2023,"4,102.20","4,127.66","4,098.79","4,124.51",,0.37%,0%,28.87,0.70%,,,,,,,,,,,
